	Microglia	Complement_Immunosuppressive	Neutrophil	Scavenger_Immunosuppressive	G2_M	IFN_Response	IL1B_CD83_TNF_Inflammatory	cDC	G1_S	Hypoxia	Inflammatory_microglia	HS_UPR	Macrophage	Monocyte
AL035587.2	0.000302998	5.54208E-05	0	2.58351E-05	0.000158761	4.03915E-05	0.000120032	5.63753E-05	3.87168E-05	7.16114E-05	0.001004414	0.000186358	0.000155356	7.70361E-05
AL078590.2	0.002635177	1.14807E-06	0	0	0	0.000210016	0	0	0	0	0.00074529	0	0.000419978	0
AL109615.2	0	0	0	0	0.000112938	0.000268263	0.001532122	0.000114007	4.08328E-05	5.72919E-05	0.000629787	6.19525E-05	2.50349E-05	0.000214792
AL109840.2	0.000111428	4.7893E-05	0.000129771	9.2789E-05	1.2821E-05	0	4.36526E-05	5.12624E-05	5.97409E-05	3.37987E-05	0.000337365	0.001000603	2.00039E-05	6.63989E-05
AL118516.1	0.00030693	5.4038E-05	9.43435E-05	0	0	0.000307509	0.001422308	0.000380525	0	0.000789273	0.001225769	0.000386943	4.19638E-05	0.000203392
AL121944.1	0.000448364	0.000184847	6.10262E-05	3.86342E-05	0.00022155	4.32137E-05	0.000209492	0.000273501	0	2.8389E-05	0.000438848	0.000506155	0.000225678	0.00017149
AL133259.1	3.20288E-05	7.28831E-05	2.90352E-05	0	5.54095E-05	0	0.000107857	0	0	0.000162995	0.000160327	0.000781315	2.46652E-05	4.47585E-07
AL133330.1	0	6.23113E-05	6.2882E-05	0.000486359	8.1631E-08	6.53491E-05	0.000425906	5.02948E-05	1.2415E-05	0.000126659	0	0	0	0.001235301
AL133453.1	0.000493913	0.000259408	0.000231704	0	4.71137E-05	0.000100959	7.23978E-05	0.00016453	0.000269524	0.003380001	0.000328077	1.78015E-05	0.000121669	0.000345355
AL135791.1	0.000294215	4.89952E-07	0	0	5.01316E-05	0.000153794	8.529E-05	0.000204886	3.0147E-06	0	0.000802567	0.000291819	4.02694E-05	7.16873E-05
AL136040.1	0.000113862	5.96684E-05	5.17665E-05	5.96826E-05	7.09818E-06	0.000139131	6.7241E-05	4.17338E-05	3.89347E-05	5.81669E-05	0.00065399	0.000759981	0.000104724	5.63331E-05
AL136987.1	0.00018824	0.000198003	0	0	5.93763E-05	0.000490255	0.000927341	0.000329247	0.000100461	4.30339E-05	0.000711107	7.19366E-05	0	0
AL138756.1	0.000758031	0.000326651	0	0.00032312	0	0.000180649	9.78037E-05	0.000392301	0.000137388	0.000136637	4.8061E-05	0.000303076	0.000758999	0.00030465
AL139246.5	0	0.000119193	0.000245869	3.11515E-06	0	0.00015552	0.000213207	0.000451716	1.28362E-06	0.000601301	0.00028234	0.000184518	0.000383457	0.000553859
AL139351.2	0.001407901	9.83086E-05	0	0	8.24518E-05	3.50447E-05	4.8764E-06	5.15251E-05	5.88407E-05	0.000183233	1.5504E-05	5.64706E-05	0	0
AL162253.2	0.000147788	4.38934E-05	8.49594E-06	6.94349E-05	0	8.11344E-05	1.39889E-05	5.05873E-05	9.23279E-05	0.002619483	0.000130129	7.48391E-05	8.59508E-05	0.000183053
AL353708.1	0.0001856	0	0	2.91604E-05	0	0	8.8578E-05	0.000128565	2.10437E-05	1.15447E-05	0.001169527	0.000165346	2.19326E-05	1.03942E-05
AL355075.4	0.000369617	0.000238926	1.68223E-05	9.22445E-05	5.45366E-05	0.000273663	0.001081701	0.00015396	2.74895E-05	0.000196563	0.000894272	7.74073E-05	5.8373E-05	0.000238326
AL355304.1	0	1.30115E-06	0	0	0	5.07887E-06	0.00085136	7.67004E-05	0	1.75807E-06	0.000454122	0.000297461	5.55021E-06	4.38062E-05
AL355881.1	0.000308703	6.87103E-05	5.4701E-05	0	6.98673E-05	0.000101234	0.001373249	0.000359265	0	0	0.001342827	2.87757E-05	7.08323E-05	0
AL360012.1	0.000204046	0.000298466	0	1.77616E-05	2.38174E-06	0.000206274	0.000814218	0.000159649	1.47796E-05	4.09745E-05	0.001128723	0.000713113	0	0.000103114
AL392172.2	0.000723793	8.00921E-05	0	0	0	0	0	0	0	0	0.001416263	0.00032315	0	7.9858E-06
AL451085.1	0.000201742	3.25229E-05	0	0	0	0	8.87815E-06	6.22692E-05	0	3.46768E-05	0.000460487	0.00184988	0	1.80946E-05
AL499604.1	0.000318575	0.000171452	0.001096311	0	3.71746E-05	0	0.000600548	0.000337245	0	0	0.001203242	0.002938343	2.19119E-05	5.44199E-05
AL591115.1	0.000249742	3.456E-05	0	0	0	0	0.000505708	0.000399299	0	0.000330197	0.000316366	0.000426492	0	0
AL591846.2	0	2.22071E-05	0	1.19889E-05	6.89109E-05	6.93006E-05	0.000356482	7.86561E-05	0	0	0.000199399	0.000205241	0.000248152	4.64923E-05
AL592295.5	0.000298785	0.000404392	0.000268791	0	0.000315807	0.00028842	0.000442047	0.000460789	2.38554E-05	0	0.000438831	0	3.33665E-05	0.000147146
AL627171.1	0.000154474	1.1521E-05	0.000272552	0	5.93593E-06	0.000126678	7.21294E-05	0.000834247	7.21468E-05	1.93837E-05	0.000816346	0.000100596	3.93822E-05	5.49726E-05
AL627171.2	0.001320997	8.93406E-05	0.00098594	0.001238936	0.00014757	0.001491623	0.00016606	0.000478451	0.000352205	0.000506248	0.00064875	0.000306627	0.000608115	0.000718877
AL645608.7	0	0.000248203	4.91203E-06	0	0	0.000329691	0.000393754	0.000302097	7.65235E-05	0.00010635	9.15864E-05	0.000119418	3.17632E-05	0.000275499
ALAS1	0.001289563	0.000318281	2.51205E-05	0.000210143	0.000116774	0.000660903	0.000454612	7.99612E-05	0.000225982	0.00043585	0.000375711	0.002938254	0.000568604	0.0002288
