	NPC-like	AC-like	MES2	MES1	OPC-like
ARSJ	-0.000438528	-0.000741368	0.000284788	0.000931469	-0.000777806
ARX	0.001210527	0.000167352	9.04E-05	-0.000109447	-0.000521715
ASB17	-2.07E-05	2.50E-05	-1.29E-05	-6.99E-06	2.93E-05
ASCL1	0.00138109	-0.000646828	-0.000672436	4.10E-05	0.002195427
ASIC1	-0.000242127	-0.00056736	-0.000683145	-0.000137899	0.003614544
ASIC4	0.00174886	-0.000588134	-0.000333903	-9.85E-05	0.002469306
ATCAY	0.001300631	-0.000696644	-0.000540877	-0.000180065	0.004694597
ATF3	-0.000125224	0.00020134	0.000756619	0.00204562	-0.000851769
ATF5	0.001202557	0.00017061	0.000906745	-3.41E-05	-0.000362597
ATN1	0.003913985	0.000280372	-0.000335687	0.000184832	0.000222084
ATOH8	-0.00069265	-0.000182418	-0.000375844	-2.66E-05	0.003612883
ATP10B	0.00023465	0.000263415	0.000108784	-2.43E-05	0.000473838
ATP11A	0.000202564	0.00018451	-0.000116663	0.000269129	-0.000155586
ATP1A2	-0.000557513	0.000517288	-0.001115051	-0.00050116	-0.000681903
ATP1B1	0.000494931	0.003177948	-0.000206729	-0.000131391	-0.000681006
ATP1B2	-0.000601258	0.000747885	-0.00136702	0.00208281	-0.000600391
ATP23	0.000136161	-0.000284691	-0.000309889	7.96E-05	-0.000309434
ATP2B4	-0.000551421	-9.59E-05	-0.00054194	0.000339482	-0.000729607
ATP8A2	0.001974663	-0.000254128	-0.000266681	-2.72E-05	0.000748979
ATRNL1	0.000759396	0.000311603	-0.000519394	-4.42E-05	0.001673783
AUXG01000058.1	0.002775578	-0.000543513	-0.000592127	7.20E-05	0.001350751
AVIL	0.000177984	7.40E-05	-0.000136384	-7.47E-05	-0.000308921
AVPR1B	0.000158237	-5.09E-05	-0.000123281	0.000179731	-8.41E-05
AZGP1	-0.000278245	-0.000436899	3.41E-05	0.001735082	-0.000114793
B3GAT2	0.00232302	0.000528791	-0.000567202	-4.27E-05	0.000413667
B3GNT5	-0.00032792	-0.00017291	0.001175351	0.000724028	-0.000722283
B4GALNT1	0.00055438	-0.000407781	-0.000377299	-0.000160532	0.00053161
B4GALT1	-0.000283032	0.000248609	0.001865449	0.001161489	-0.000546018
BAALC	0.000370457	0.001172602	-0.000990046	0.002449299	0.000124466
BAALC-AS1	-0.000150834	0.002263549	-0.00056181	3.45E-05	-0.000341874
BACE2	-0.000466173	-0.000507359	0.002161112	0.000955927	-0.000753852
BAG3	-0.00036328	0.000923621	0.000893081	0.000230118	-0.000508463
BAMBI	0.000673207	-0.000194587	-3.59E-05	1.69E-05	0.000575067
BASP1	0.004846555	-0.000224978	-0.000524504	-0.00014718	0.000838258
BASP1-AS1	0.000693659	-2.87E-05	-4.78E-05	-1.08E-05	6.01E-05
BCAN	-0.000689473	1.27E-05	-0.001236008	-0.000344589	0.006030322
BCAS1	-0.000197343	8.78E-05	-8.96E-05	-3.66E-05	0.001576689
BCAT1	-0.000323865	-0.000900817	0.000271079	0.001262899	-0.000790214
BCL11B	0.003113896	-0.000331489	-0.00024908	-8.99E-06	-0.00037036
BCL2A1	1.99E-05	8.17E-06	0.000357573	7.35E-05	-0.000141243
BDKRB2	-0.000186395	-0.000224442	-5.40E-05	0.000205927	-0.000304606
BDNF	-9.71E-05	-0.000192936	0.000397909	0.00021144	-0.000155743
BEST3	-0.000910424	-0.000502414	-0.000252163	-8.91E-05	0.003458522
BGN	-0.000373383	0.00135698	0.000248898	0.001119497	-0.000264021
BHLHE22	0.000819097	-6.10E-05	-7.17E-05	-5.08E-06	-0.000341352
BHLHE40	-0.000447374	-0.000146625	0.000701298	0.002441261	-0.000829108
BHLHE41	-0.000313303	9.02E-06	6.42E-05	0.001518598	-0.000676646
BICD1	-5.55E-05	-7.28E-05	-0.000413138	0.00257615	-0.00078033
BIRC3	-0.000188914	0.000305579	0.00288946	7.62E-05	-0.000397833
BMP2	0.000766143	-0.000347613	-0.000146123	6.65E-05	0.004187135
BMP5	4.00E-05	4.78E-05	4.98E-05	-3.38E-05	-4.15E-05
BMPER	-0.000205733	-4.77E-05	-0.0005486	0.001435822	4.72E-05
BMX	-2.93E-05	-1.56E-05	-7.55E-06	-1.60E-05	-1.42E-05
BNIP3	7.76E-05	-8.17E-05	0.004428254	8.12E-05	-6.79E-06
BNIP5	2.49E-05	-3.25E-05	8.68E-05	-8.61E-06	-3.63E-05
BRINP1	0.002361544	0.00028966	-0.000366381	-0.000126032	0.000672654
BRINP2	-1.37E-05	-0.000186725	0.000130426	0.001177389	0.001387493
BRS3	0.001195176	-0.000107784	5.96E-05	-4.57E-05	-0.000480557
BTBD11	-0.000161544	0.000466527	-0.000500351	0.000360813	-0.000415205
BTBD8	0.002970936	-1.74E-05	-0.000369108	9.68E-05	-3.82E-06
BTG2	0.001891989	0.000555435	-0.000327266	0.001175577	0.00061226
BX640514.2	-9.63E-05	-0.00023092	0.001772908	-0.00014437	-0.000132925
C10orf142	-1.67E-05	0.000247563	7.82E-05	-5.73E-05	4.78E-05
C11orf87	0.000350755	0.000452229	-0.000437403	0.000770889	-0.000334302
C11orf88	-1.78E-05	0.000420717	-6.14E-05	-4.67E-05	-9.54E-05
C11orf96	-0.000227832	0.000602906	-0.000660934	0.002932827	5.23E-05
C12orf4	0.003864856	0.000143195	-0.000327094	2.10E-05	-0.000536641
C12orf57	0.004005305	3.25E-05	-0.000291483	-8.83E-05	9.03E-06
C15orf48	-0.000102497	0.00012813	0.001200271	-9.30E-06	-0.000105573
C1QL1	0.000801542	0.000408321	-0.000377848	-0.000110044	0.002520638
C1QL4	-2.60E-05	0.000841289	-3.36E-05	-0.0001419	-2.76E-05
C1R	-0.000600426	0.002052371	-0.000131953	0.001136028	-0.001080422
C1S	-0.00033132	0.002945501	-0.000335041	0.000728435	-0.001018094
C21orf62	-0.000249538	0.002523253	0.000335406	-0.000214284	-0.000481541
C2CD2	-0.00032926	-0.000289645	0.000873721	0.000531664	-0.000581449
C2CD4A	-7.92E-05	4.13E-05	0.001533944	-0.000138927	-0.000107628
C2CD4B	-1.96E-05	-2.56E-05	6.12E-05	-1.70E-05	-1.11E-05
C2orf27A	0.00303593	-0.000455371	-0.000461385	2.68E-05	0.001994724
C3	-0.000487381	0.004080841	5.03E-06	0.000670667	-0.000890668
C5AR2	0.000297484	4.78E-05	0.000110269	3.53E-06	-0.000110581
C6	8.47E-06	0.000515512	-5.51E-05	-8.65E-05	-9.32E-05
C6orf141	-0.000295968	8.32E-05	0.00022547	0.000468321	-0.00059919
C6orf15	-0.00014266	-0.000118118	-0.000118298	-6.75E-05	-0.000192238
C7orf33	6.42E-05	0.000179122	-6.03E-05	-3.24E-05	3.30E-05
C9orf135-DT	-2.01E-05	5.98E-05	0.00015382	2.90E-05	-6.91E-06
C9orf24	-1.83E-05	0.000545438	-7.31E-05	-5.41E-05	-0.000130399
CA10	-0.000475576	-0.000249848	-0.000262083	-5.89E-05	0.003137623
CA12	-0.000628133	-0.00056972	0.00354496	-0.000339136	-0.000931933
CA2	-0.000441984	0.001391895	4.98E-05	0.000489927	-0.000667783
CA3	-0.000205269	0.002521334	-3.62E-05	-0.000316443	-0.000390942
CA4	-7.03E-05	0.000736118	1.81E-05	-0.000133797	-0.000105459
CA8	0.002511799	0.000141767	2.25E-05	-0.000137847	0.000262385
CA9	-0.000262893	-0.000360595	0.005321719	-0.000207609	-0.0004604
CABP7	8.98E-05	-0.000479353	-0.000795279	0.001515259	-8.20E-05
CACNA1A	0.001092783	-0.000554194	-0.000589475	-0.000271399	0.001361736
CACNA1E	0.004019186	-0.000320575	-0.000394356	-5.57E-05	-5.11E-05
CACNA1S	-3.89E-05	0.000603849	-0.000130188	-7.25E-05	1.29E-05
CACNA2D1	0.000587605	-0.000376817	-0.000496531	-0.000340919	0.001521684
CADM2	0.001144909	-0.000382812	-0.000799657	-0.000234877	0.003507995
CADM3	0.001449694	0.001503301	-0.000222999	0.000799775	0.000104722
CADPS	0.00042991	0.001439772	0.001284496	0.000392318	-1.37E-05
CALB1	-6.61E-05	-0.000153309	9.58E-05	4.97E-05	5.99E-05
CALB2	0.000139487	5.57E-05	-0.000219894	0.000338559	-8.88E-05
CALCRL	0.000884131	-0.000225469	-0.000886197	0.000217043	0.002484416
CAMK2B	5.86E-05	-0.000519723	-6.73E-05	0.000394344	-0.000395138
CAMP	-3.23E-05	0.00014951	0.000499749	-3.35E-05	-7.92E-05
CAPN6	-9.46E-05	-7.37E-05	-7.34E-05	-8.31E-05	-0.00013634
CAPRIN2	-4.08E-05	-0.000747347	-4.33E-05	0.002259376	-0.000269762
CAPS	-1.67E-05	0.001021882	1.82E-05	-0.000125149	-0.000156148
CAPSL	-5.70E-06	0.0004293	-3.62E-05	-7.90E-05	-9.68E-05
CAV1	-0.000470122	0.000277173	0.001963979	0.000313558	-0.000777753
CAV2	-0.000411377	5.67E-05	0.000207225	0.001129241	-0.000557937
CAVIN2	-4.33E-05	-5.70E-05	-9.47E-05	-7.40E-05	0.000141397
CAVIN3	-0.000195796	-0.000434641	-0.000232409	0.002303391	-0.000372312
CBLN4	-0.000122419	-0.000247656	-0.000169703	-0.000127198	-0.000251107
