	T-cell	Cancer-1	Cancer-2	Myeloid-1	Cancer-3	Cancer-4	Oligo	Cancer-5	Myeloid-2	Myeloid-3	Myeloid-4	Cancer-6	Giant Cell Cancer	Cycling	Vasculature-2	Other Immune-1	Vasculature-2	Other Immune-2
HLA.DPA1	-0.000164272	-0.000463845	-0.000762916	0.001807239	-0.001386688	-0.0003014	-0.000534125	-0.000266397	0.001907407	0.001560735	-0.000688798	-0.00062787	-0.000532488	-0.000129574	-0.000453873	0.000201888	-0.000208095	-0.000441245
TNFAIP3	0.001383918	-0.00112312	-0.000937666	-0.000397354	-0.001273703	-0.000224321	-0.000727468	-0.000540191	-0.000358154	0.00472593	0.000142436	-0.000763696	-0.00024154	-0.000721381	-5.32E-05	0.000135225	-0.000201292	0.001425348
LYZ	-0.000542325	-0.000487793	-0.000487324	-0.000354827	-0.000790217	-0.000345798	-0.000374248	-0.000414866	0.003767674	0.000775715	0.001649787	-0.000438826	-0.00034421	-0.000134426	-0.000330137	-0.000507126	-0.00031337	-0.000234347
CCL4L2	-0.000376381	-0.000575642	-0.000500868	0.001725455	-0.000990697	-0.000347399	-0.000402262	-0.000519203	-0.000947181	0.004953145	-0.000473039	-0.000472051	-0.000474347	-0.000204214	-0.000365698	-0.000297126	-0.000290359	-0.000234081
FCGBP	-0.000431699	-0.000551816	-0.000463391	0.002333388	-0.000391928	0.000181373	-0.00034182	-0.000280248	0.000345101	0.00069451	-0.000464792	-0.000405284	-0.000272241	0.000418645	-0.000351128	-0.000599355	-0.000306488	-0.000482571
SEC61G	-0.00072618	0.001789622	-0.000714151	-0.000482798	0.003261511	-0.000782067	-0.000549163	0.001560612	-0.000387947	-0.000583219	-0.000653536	-0.00097046	0.00016961	0.000643222	-0.000574005	-0.000130858	-0.000360259	-0.000454151
CCL3L1	-0.00052595	-0.000551478	-0.000491529	0.001634344	-0.000940562	-0.000403482	-0.00039199	-0.000502407	-0.000884322	0.005321446	-0.000467271	-0.000449277	-0.000433408	-0.000208918	-0.000381841	-0.000370992	-0.000307756	-0.000623668
FOS	-0.000555993	-0.000205714	0.000320226	0.000163456	-0.000675362	-0.000173358	0.000404921	0.000829696	-0.001037415	0.002209173	0.000141729	-0.000667146	8.81E-05	-0.000793215	0.000642622	0.000708334	0.000314826	-6.39E-05
COL1A1	-0.000283609	-0.000457843	-0.00033388	-0.000200614	-0.000624905	0.000368682	-0.000194874	-0.000384078	-0.000175231	-0.000326112	-0.000221276	-0.000280874	0.006117925	-4.96E-05	0.000901393	-0.000257268	-0.000175037	-0.00023653
TF	-0.000360507	-0.000468729	-0.00021311	-0.000230883	-0.000264693	-0.000274501	0.003742449	8.10E-05	-0.00025397	-0.000339042	-0.000255324	-0.000417938	-9.69E-05	-0.000138392	-0.000285064	-0.000340229	-0.000194905	-0.0002717
HLA.DPB1	4.47E-05	-0.000575933	-0.000746293	0.001604143	-0.001295628	-0.0004279	-0.000539984	-0.000259194	0.001998754	0.001494023	-0.000677365	-0.000590586	-0.000536825	-0.000143739	-0.000379996	9.06E-05	-0.000311486	-0.000495549
MAP1B	-0.001195917	0.000438776	0.000452556	-0.000846202	0.00086495	0.001692001	0.000762019	0.001321824	-0.000888783	-0.000760704	-0.000862105	0.001899673	-0.000715181	0.000302512	0.001023256	-0.001072106	-0.000114678	-0.000955995
IGFBP3	-0.000445995	-0.000554718	-0.000622311	-0.000294282	0.003887995	0.00132188	-0.000484935	-0.000161251	-0.000365524	-0.000834325	-0.00029882	-0.000709411	0.001157148	0.000136409	-0.000761051	-0.000519322	0.000951983	-0.000451188
IGFBP5	-0.000646629	0.001249474	-0.000739264	-0.000362763	0.004214156	0.000585085	-0.000569218	-0.00050489	-0.000525372	-0.000773166	-0.000414278	-0.000423434	3.36E-07	-0.000768707	0.001221042	-0.000552258	-0.000323892	-0.000537161
FN1	-0.000674214	-0.000856711	-0.000730352	-0.000513216	0.000930445	0.00103631	-0.000520611	0.001549257	0.000601686	-0.000463151	-0.000506046	-0.000739544	0.002550599	5.29E-05	0.001934688	-0.000669258	0.00110544	-0.000531246
SPARC	-0.001012518	0.001326618	-0.000690854	-0.000601282	-5.04E-05	0.001439539	0.000416741	0.001608389	-0.000488187	-0.000970433	-0.000732283	-0.001154737	0.002043016	-5.63E-06	0.001045125	-0.000940195	0.001359244	-0.000791226
C1QB	-0.000551437	-0.000576397	-0.000508952	0.00327158	-0.00069622	-0.00028244	-0.000376747	-0.000450353	0.000787182	0.000565615	-0.000528228	-0.000506049	-0.000338424	-6.52E-05	-0.000342736	-0.000444181	-0.000287996	-0.000575986
AQP4	-0.000517549	0.002316288	-0.000791455	-0.00033339	-0.000682267	-0.000432402	-0.000447382	0.004177249	-0.00036382	-0.000490757	-0.000379579	-0.000562152	-0.000437392	-0.000752388	-0.000441626	-0.000463827	-0.000362603	-0.000417082
TUBA1A	-0.001062205	0.00087095	0.001067816	-0.00080531	-0.000405176	0.001080365	0.001115947	0.000804096	-0.000843351	-0.000429595	-0.000293012	0.001138343	-6.52E-05	0.000616716	-0.000300616	-0.001168516	-0.000314286	0.000230742
COL6A3	-0.000219652	-0.000357423	-0.000276618	-0.00018551	-0.000367971	-0.000239231	-0.000176417	-0.000366207	-0.000196641	-0.000255233	-0.000186873	-0.000246778	0.006533357	-0.000123463	0.000102961	-0.000218746	-0.000201949	-0.000185443
IGFBP7	-0.000602668	-0.000367326	-0.000701252	-0.000394005	-0.001124436	0.002553259	-0.000535207	0.00209753	-0.000230624	-0.000454161	-0.00044787	-0.000699294	0.000623841	-7.91E-05	0.002603358	-0.00060784	0.002064361	-0.000475043
PTPRC	0.001774607	-0.00094701	-0.000920017	0.000893858	-0.001381722	-0.000672903	-0.000700696	-0.000782082	0.000861826	0.000517194	0.001444165	-0.000814739	-0.000657649	-0.000440335	-0.000600489	-8.00E-05	-0.000556897	0.00037933
VEGFA	-0.000843709	9.20E-05	-0.000691023	-0.00048607	0.005703747	-0.000431146	-0.00065919	0.000138199	-0.000135294	0.001036056	-0.000496279	-0.000560975	-0.000249011	-0.000178703	-0.000463972	-0.00068401	-0.000593428	0.000222136
DCN	-0.000314753	-0.000377464	-0.000347904	-0.000235426	-0.000678513	0.00027332	-0.000241857	-0.000498519	-0.000277598	-0.000133891	-0.000242077	-0.000336789	0.005108333	-0.000226643	0.003018929	-0.000231309	0.000181021	-0.000241091
IGKC	0.000102047	-0.000436429	0.000358343	1.87E-05	-0.00058868	-0.00026187	-0.000216624	-0.000251623	-0.000337472	-6.56E-05	-0.000179832	-0.000132601	-0.00012839	-0.000373108	-0.00014031	0.008014986	-0.000166493	0.00055131
NAMPT	-0.000783791	-0.000726303	-0.001116479	-0.000646578	0.000701249	0.001054866	-0.000706754	0.001715611	-0.00018321	0.0036335	0.00164914	-0.000811031	-0.000261311	-0.000493434	-0.000524422	-0.00081412	8.77E-06	-0.000372304
CXCR4	0.001893084	-0.000870282	-0.000836575	0.000318865	-0.000979469	-0.000313391	-0.000610686	-0.000690912	-0.000481609	0.00157268	0.000646697	-0.000641977	-0.00060041	-0.000557189	-0.000553043	0.001178817	-0.000387198	-0.000492469
CYBB	-0.000597688	-0.000575438	-0.00060781	0.002331107	-0.000924917	-0.000257703	-0.000452521	-0.00051734	0.00221268	0.000409009	3.70E-05	-0.000522085	-0.000449996	-0.000147207	-0.000395421	-9.35E-05	-0.000352825	-0.000287109
CD163	-0.000603522	-0.000547528	-0.00052553	0.001271963	-0.000664446	-0.00039586	-0.000386504	-0.000417329	0.002874651	0.001268243	-0.00036946	-0.000479606	-0.000304284	-0.000218179	-0.000360394	-0.000539502	-0.000293995	-0.000715035
A2M	-0.000736371	-0.000790376	-0.000803762	0.002498325	-0.000154158	0.000480351	-0.000576481	7.90E-05	-0.000136215	0.000476138	-0.000621127	-0.000527672	0.000384743	-0.000132007	0.001549211	-0.000751439	0.002036141	-0.000687692
CD83	-0.000568534	-0.000717313	-0.000662153	0.000772096	-0.001064924	-0.000126027	-0.000545457	-0.000200703	-0.000365998	0.006353185	-0.00065853	-0.000510275	-0.000463843	-3.76E-05	-0.000511482	-4.89E-05	-0.00039276	0.001181571
CTSB	-0.000971296	-0.000205365	-0.000922483	0.001397253	-0.000198284	0.001346712	-0.000565757	0.000493231	0.001750796	-1.17E-05	-0.000877325	-0.000932189	0.001290904	-0.000171427	-0.000459565	-0.0008509	0.00014894	-3.57E-05
JUN	-0.000433857	0.00025767	7.20E-05	0.00012302	0.000176005	0.000492035	5.67E-05	0.00061251	-0.001240694	0.001506069	-0.001387749	-0.000393256	0.000471912	-0.000543526	0.000472183	0.000955078	0.00027288	0.000564074
TXNIP	0.001230918	-0.000610204	0.000534746	0.000205332	-0.000679508	0.000133291	-0.00057823	-0.000960229	0.000938331	-0.002129783	0.00129045	-0.000652653	-0.000562424	-0.00075978	0.000398744	0.001230783	-0.000232772	0.000384193
CCL5	0.001900808	-0.000456325	-0.000482935	-2.70E-05	-0.000683667	-0.000311448	-0.000304009	-0.000378286	-0.00055734	0.000745055	-0.000360155	-0.000420719	-0.000276355	-0.000181194	-0.000254622	-0.000571196	-0.000203138	-0.00058869
MBP	0.000192265	-0.00057281	-0.000382746	0.000166121	-0.00094465	5.69E-05	0.002920952	-0.000486326	4.27E-05	-0.000484206	0.000457901	-0.00051317	-0.000267977	-0.000345171	-0.000247106	-0.000460579	-0.000253081	3.62E-05
HLA.B	0.000917117	0.000949942	-0.002187116	0.000264237	-0.001290205	3.87E-05	-0.00013114	0.000102939	0.000700631	0.000718544	0.000788074	-0.002548317	0.000652276	-0.000439871	-0.000353626	-3.61E-05	0.000390626	-0.000335014
FCGR3A	-0.000550558	-0.00057005	-0.000595732	0.002549366	-0.000740256	-0.000358613	-0.000433256	-0.000483847	0.001536156	0.000251643	0.001010146	-0.000523052	-0.000399033	-0.000312732	-0.000396836	-0.000687104	-0.000355699	-0.000803196
POSTN	-0.00038269	0.000493577	-0.000395244	-2.00E-05	0.00067431	0.001771329	-0.000313776	-0.000949866	-0.000237726	-0.000977305	-0.000246441	-0.000491383	0.002208291	0.000512442	-0.000446093	-0.000404855	-0.000273908	-0.000354441
LAPTM5	0.000682038	-0.000938018	-0.000900069	0.001482015	-0.001173497	-0.00064392	-0.00067728	-0.000758726	0.001644816	0.000856352	0.001197603	-0.000811106	-0.000483303	-0.000351463	-0.000684677	-2.30E-05	-0.000206801	0.001176883
LCP1	0.001542654	-0.000909322	-0.000883313	0.00010132	-0.001146106	-0.000628863	-0.000567517	-0.000725786	0.001310826	0.000526171	0.001894187	-0.000821464	-0.000569981	1.39E-05	-0.000572184	2.55E-05	-0.000491403	0.001259591
EGR1	-0.001156063	-0.000276539	0.00055898	0.000107809	-5.18E-05	0.00066207	0.000324903	0.000664723	-0.001275507	0.002640501	-0.000542512	-0.000320452	0.000414083	-0.000104429	0.00086584	-0.000296684	0.000123329	0.000523111
ERMN	-0.000253941	-0.000367196	-0.000419129	-0.000211678	-0.000552421	-0.000276167	0.003929459	-0.000222123	-0.000226409	-0.000261749	-0.000197278	-0.000351917	-0.000175501	-0.000113388	-0.000235756	-0.000231168	-0.000185706	-0.000273987
IGHG3	-5.45E-05	-0.000383665	0.000268101	2.18E-05	-0.000458254	-0.000201634	-0.00019665	-0.000188632	-0.000372196	-0.000106629	-0.000148769	-5.10E-05	-0.000122016	-0.000264127	-0.000146009	0.008616515	-0.000148188	0.000294143
C1QA	-0.000548044	-0.00054805	-0.000509795	0.003049369	-0.000717842	-0.000301653	-0.000372257	-0.000416613	0.001181397	0.000430764	-0.000528842	-0.000481691	-0.000326817	-0.000143264	-0.000355624	-0.000449852	-0.000280446	-0.000553152
SOD2	-0.000734016	-0.001149184	-0.000945993	-0.000456147	0.000211926	0.001248533	-0.000645535	0.001889662	-2.35E-06	0.003372227	0.001432649	-0.000567207	-0.000147149	-0.000562914	-0.000378369	-0.000821636	-0.000187745	-0.000813641
NRCAM	-0.000890151	0.000748253	0.001068884	-0.000587375	0.000884754	0.002327229	-0.000757345	0.001604913	-0.000637489	-0.000781896	-0.000616518	7.19E-06	-0.000971043	-0.000154802	-0.000765874	-0.000848015	-0.00035924	-0.000649523
HLA.DQB1	-0.000233083	-0.000588563	-0.000630233	0.001361535	-0.001027022	-0.00032373	-0.000462945	-0.000492722	0.002213354	0.00173425	-0.000572093	-0.000505878	-0.000447716	-0.000125111	-0.000441152	1.72E-05	-0.000370775	-0.000430396
SAT1	-0.00046707	-0.001022897	-0.000979741	0.001013982	-0.000652831	0.000663839	-0.000775451	0.000626906	0.000799462	0.002043951	0.001168542	-0.001029732	0.000238991	-0.000712758	-0.000483983	0.000103046	0.000351494	0.000437176
VCAN	-0.000925224	0.000544533	0.00195716	-0.001079553	-0.00070676	0.000311626	-0.000763624	0.001303864	0.00186925	-0.001072643	-0.000510841	-0.000826511	0.001443623	0.000192626	-0.000274245	-0.000906524	-0.00031811	-0.000844005
CLDN11	-0.00035456	-0.000406971	-0.000442565	-0.000275987	-0.000711917	0.000173643	0.003631838	-0.00030855	-0.000271174	-0.000211816	-0.000263043	-0.000315507	0.000592139	-0.000354486	0.00028903	-0.000279919	-0.000100962	-0.000283155
PTN	-0.001032281	0.002621727	0.000537671	-0.000713979	0.000226735	0.000871879	0.000175556	0.000794501	-0.000765618	-0.000853491	-0.000712826	-0.00036868	8.57E-05	0.000531305	-2.67E-05	-0.000856948	-0.000421576	-0.000824333
CD14	-0.000626448	-0.000555178	-0.000546637	0.001827209	-0.000806037	-0.000220352	-0.000404522	-0.000468036	0.002410565	0.000909744	-0.000100298	-0.000476986	-0.000330564	-0.00018477	-0.000296049	-0.000764997	-0.000313738	-0.000756495
CSF1R	-0.000589451	-0.000563173	-0.000543929	0.002892546	-0.000837337	-0.000325478	-0.000427146	-0.000487475	0.001533087	0.000666588	-0.000438171	-0.000493165	-0.000375864	-0.000220079	-0.000356344	-0.000537665	-0.000318218	-0.000596233
GPM6B	-0.001083414	0.001377609	0.001011511	-0.000730659	0.000421071	0.001537963	0.001441827	0.0012251	-0.000782724	-0.000914206	-0.000777845	-0.001084405	-0.00097655	0.000169395	-0.000663093	-0.00092501	-0.000609738	-0.000870435
SERPINA3	-0.000511046	-0.000484816	-0.000673592	-0.000409664	-0.00016229	0.001767669	-0.000285164	0.003816682	-0.000407011	-8.99E-05	-0.000373433	-0.000376345	-0.000137068	-0.000279045	-0.000136324	-0.00043559	-8.43E-05	-0.000421554
AKAP12	-0.000656254	-0.000245341	-0.000380732	-0.000325436	0.004904691	0.001079439	-0.000497777	-0.000330745	-0.000544695	-0.000818153	-0.000492141	-0.000440468	-0.000559603	5.26E-05	0.001382743	-0.000418523	-2.95E-05	0.000346296
KLF6	0.000444212	-0.000710881	-0.000796012	0.000337095	-0.000356093	1.38E-05	-0.000673897	5.62E-05	-0.000867305	0.003672952	8.44E-05	-0.00144655	0.000190895	-0.000598627	0.000171607	0.000874926	0.000304264	0.000896668
OLIG1	-0.000602904	0.000924135	0.003026919	-0.000413566	-0.001224902	-0.000422437	0.001562981	-0.000752361	-0.000407909	-0.000457253	-0.000427217	-0.001063808	-0.000405511	6.03E-05	-0.000430448	-0.000494677	-0.000345016	-0.000462719
TRBC2	0.00239042	-0.000457964	-0.000475354	-0.000283895	-0.000674415	-0.000299173	-0.000308916	-0.000357019	-0.000348653	-0.000464169	-0.000338309	-0.000436188	-0.000285265	-0.00011009	-0.000251752	-0.000551147	-0.000241857	-0.000474123
PLEK	-0.000414998	-0.000654647	-0.000651946	0.000690865	-0.001005219	-0.000437609	-0.000498058	-0.000579306	0.000679356	0.003922171	0.001541025	-0.000561557	-0.000457756	-2.96E-06	-0.000509681	-9.69E-05	-0.000428488	-0.000129932
GPR183	0.000508291	-0.000680563	-0.000648355	0.000329876	-0.001147365	-0.000513619	-0.000528436	-0.000637228	0.000463515	0.004458539	-0.000721955	-0.000526012	-0.000415843	-0.000438791	-0.000495734	0.00047391	-0.000480368	-0.000219017
MAP2	-0.00082027	0.001759823	0.002517484	-0.00052433	-0.000421008	-0.00039289	-0.000658349	0.000331114	-0.000587628	-0.000748559	-0.000576433	0.001755784	-0.000761183	0.000266644	0.000257627	-0.000620418	-0.000373587	-0.000637609
HLA.DRB5	-0.000328358	-0.000546097	-0.000619592	0.001901524	-0.001025875	-0.00048704	-0.000463032	-0.000239423	0.001351419	0.001958776	-0.000588278	-0.000500722	-0.000449267	-3.56E-06	-0.000424982	0.000160971	-0.000168305	-0.000331452
CTSS	-0.00012655	-0.000713204	-0.000832719	0.001233032	-0.001150558	-0.000324896	-0.000594075	-0.000483853	0.002030521	0.000721212	0.00189233	-0.000682801	-0.000197603	-0.000425647	-0.000492336	0.000834561	-0.0002035	-0.00034944
HLA.E	0.00109206	0.000130958	-0.00186908	0.000907903	-0.001708925	-0.000313722	-0.000315866	-5.33E-05	0.000639209	0.000655685	0.001045464	-0.001560862	0.000241642	-0.000705335	-0.000207657	6.37E-05	0.000894242	0.000189864
HSPA1A	-0.000502356	-0.00038677	0.00038387	0.000552782	-0.000496675	0.000482232	0.000545755	8.01E-05	0.000658769	-0.000668262	0.00021808	-0.000650678	1.12E-05	-2.33E-05	0.000355026	-0.000540117	9.70E-05	-0.000291522
THBS1	-0.000443464	-0.000503333	-0.000442472	-0.001040224	-0.000431959	9.30E-05	-0.000361858	0.000140183	0.002747441	0.001329888	-0.000270393	-0.000249009	0.000404491	-0.000524061	0.00188804	-0.000550594	0.000259703	-0.000400776
TYROBP	-0.000538081	-0.00064624	-0.000652005	0.001642983	-0.000898357	-0.000433775	-0.000486357	-0.000568276	0.002254368	0.000994102	0.001387606	-0.000561789	-0.000434543	-0.000382019	-0.000426129	-0.000557061	-0.00037108	0.000547886
TMEM144	-0.000365448	-0.000400084	-0.000491573	5.02E-05	-0.000430756	-0.000155112	0.003677524	-0.000100348	-4.52E-05	-0.000387825	-0.000261443	-0.000373869	-9.78E-05	-0.000164088	-0.000272538	-0.000353464	-0.000184222	-0.000246459
SELENOP	-0.000679569	8.60E-06	-0.000765594	0.000391363	-0.00076985	0.000151805	0.002393109	0.000725265	0.000311239	-1.20E-05	-0.000615737	-0.000672127	0.000709335	-0.000578843	0.000135361	-0.000634077	0.000322626	-0.000628746
ETS1	0.002296326	-0.000709651	0.000178791	-0.000362644	-0.000430307	-0.000465964	-0.000540404	-0.000623246	-0.000649351	-0.000549426	-0.000443987	-0.000669627	0.000137839	-0.000170362	0.000416594	-9.28E-05	0.000821269	-0.000491593
IER3	-0.000688718	-0.00073907	-0.000661212	0.000643541	-0.000926017	-0.000102365	-0.000474569	-0.000518617	0.000152651	0.005106665	0.000365707	-0.000542823	-0.000320232	-0.00029491	0.000680783	-5.45E-05	4.23E-05	0.000485863
CCN1	-0.000649826	-0.000286643	-0.00049439	-0.000703433	0.000730951	0.001783012	-0.000542866	0.001600852	-0.000669422	0.000459594	-0.000472164	-0.000457116	0.000989772	1.74E-05	0.0013614	-0.000480066	0.001050972	-0.000509198
HSPA1B	-0.000429831	1.86E-05	-0.000343253	0.000567733	0.000781087	0.000403744	0.000315323	0.000142285	0.000480365	-0.001122958	-0.00027036	-0.000416754	-1.37E-05	0.000258696	0.000243087	-0.000246156	3.11E-05	-0.00024147
FCGR3B	-0.000262848	-0.000263186	-0.000269279	0.000104466	-0.000361522	-0.000195614	-0.000183321	-0.000234183	-0.00050772	-5.71E-05	0.004895613	-0.000233441	-0.000166462	-0.000156531	-0.000136953	-0.000241358	-0.000113455	-0.000484248
OLR1	-0.000628382	-0.000491777	-0.000501558	0.00169315	-0.000789175	-0.000369082	-0.000402891	-0.000461298	0.000298022	0.003838427	-0.000374193	-0.000427448	-0.0004138	-0.000208807	-0.000427022	-0.000650357	-0.000373618	-0.000495024
CENPF	-0.000285302	-0.000156724	-0.000520571	-0.00025806	-0.00045056	-0.000221323	-0.000334477	-0.000284437	-0.000294278	-0.000235091	-0.000333594	0.001224061	-5.83E-05	0.010787293	-0.000340314	-0.000425388	-0.000211605	-0.000304051
TOP2A	-0.0003454	-0.000356367	-0.00048122	-0.000266262	-0.000555956	-0.000305935	-0.000304813	-0.00030914	-0.000262992	-0.000239186	-0.000276837	0.000775454	-5.75E-05	0.012541676	-0.000292215	-0.000359121	-0.000230735	-0.000308464
TNC	-0.000702208	0.000323964	-0.000809663	-0.000362704	0.001730079	0.002041346	-0.000615384	0.002058586	-0.00051349	-0.000840023	-0.000474535	-0.000729619	0.000870251	0.000396679	-0.000494701	-0.000707843	-0.000572509	-0.000604352
