	T-cell	Cancer-1	Cancer-2	Myeloid-1	Cancer-3	Cancer-4	Oligo	Cancer-5	Myeloid-2	Myeloid-3	Myeloid-4	Cancer-6	Giant Cell Cancer	Cycling	Vasculature-2	Other Immune-1	Vasculature-2.1	Other Immune-2
IGFBP3	4.7197623567499044e-05	0.0	0.0	0.0	0.004635521290185734	0.0016613744151203185	0.0	0.00024808861169301106	0.0	0.0	4.704707463274741e-05	0.0	0.001457986383573701	0.00021200587418734063	0.0	0.0	0.0011826837291616366	0.0
IGFBP5	0.0	0.0018565132578217515	0.0	0.0	0.005135258573480805	0.001014336238774934	0.0	2.6766539480729008e-05	0.0	0.0	8.386559569978523e-06	5.2875211616788645e-05	0.0003942427130409822	0.0	0.001632443815228847	0.0	1.5834269443633076e-05	0.0
FN1	0.0	0.0	0.0	0.0	0.001830675172155573	0.0014846975204555705	0.0	0.002057920512907851	0.0010367559196880877	0.0	0.0	0.0	0.0030187370194418002	0.0001333213190653223	0.0023552824859613603	0.0	0.0014637503911518353	0.0
SPARC	0.0	0.002363978525234649	0.000351511532726327	3.443952006601776e-05	0.0014241290653098898	0.002134909126800499	0.0011930322106262481	0.0024362118281300786	0.00017568607470672365	0.0	0.0	0.0	0.002736655418059752	0.0002991891148242863	0.0016917501922785276	0.0	0.0019106280838470902	0.0
C1QB	0.0	0.0	0.0	0.0036164517280499846	0.0	5.073134138071908e-05	3.3550096779415664e-06	0.0	0.0011085422673933595	0.0009300836998472221	0.0	0.0	1.1739991954534784e-06	6.677403834443355e-05	0.0	0.0	0.0	0.0
AQP4	0.0	0.0027535574454224843	0.0	0.0	2.5540492375463758e-05	0.0	0.0	0.004588585285250998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TUBA1A	0.00046021941523176417	0.0024895783603343024	0.002733117984447926	0.00020439564701887428	0.0019167870203018558	0.002160783938442648	0.0023419523916879616	0.0021256389221180894	0.00021196084699978812	0.0010544258787205934	0.0008185741272501118	0.002575410074004484	0.001010750338718558	0.0013086122646245265	0.0007299233601003284	0.00025418691397299597	0.0005613612250062928	0.0014550018457049326
COL6A3	1.6609260403458887e-05	0.0	0.0	0.0	0.0	0.0	1.1336535519066714e-05	0.0	0.0	0.0	0.0	0.0	0.006680230207451095	0.0	0.00023610440853636674	0.0	0.0	0.0
IGFBP7	0.0	0.0002438349463553587	0.0	2.7018993922487876e-05	0.0	0.002973305823630432	0.0	0.0025928984541955832	0.000191756303115768	0.00010756084732107572	0.0	0.0	0.0010437651181871494	9.45863509072218e-05	0.003011766123198209	0.0	0.0024088113582811017	1.7263848431861654e-06
PTPRC	0.0026466556276845314	0.0	0.0	0.001471273267108109	0.0	0.0	0.0	0.0	0.0014652283554802963	0.0012570685522339576	0.002060730610394848	0.0	0.0	0.0	0.0	0.0006576701032692247	0.0	0.0010520875613382885
VEGFA	0.0	0.0008594382139528963	9.290158731476693e-05	9.103909281647141e-06	0.006797248385948506	8.485472262542334e-05	0.0	0.000757372845349759	0.0003667810162517823	0.001636442968319266	2.234139410446079e-05	0.0001191238544075138	0.00025444584653097694	9.200540761155171e-05	0.0	0.0	0.0	0.0007618073850632616
DCN	0.0	0.0	0.0	0.0	0.0	0.00041298443161723525	0.0	0.0	0.0	7.94609020538099e-06	0.0	0.0	0.005298691764110558	0.0	0.0032150879077132944	4.123080585313497e-05	0.0003472320767034842	0.0
IGKC	0.00039299626351719396	0.0	0.0006570062171476419	0.00021230890340931985	0.0	0.0	1.9978850918308272e-05	0.0	0.0	7.044586732989174e-05	2.6758027072019346e-05	8.638969663048217e-05	4.365020416916623e-05	0.0	5.605663396312786e-05	0.008233630128852094	0.0	0.0007725777577319549
NAMPT	0.0003592782341545761	0.00048605632681079946	0.00013324443991019296	0.00010498082586616803	0.002442648355412671	0.001869439909900245	0.0002111714028657416	0.0027026690132046687	0.0006081427156731608	0.004742629551686674	0.002481348593841012	0.00026181737429108545	0.0005442969900958811	1.188489830799019e-05	0.00023945067356139434	0.00025030674420510195	0.0006640517978802835	0.00054863840156407
CXCR4	0.002684898920424529	0.0	2.931649091823555e-07	0.0008375915077034594	0.00016177434256316525	0.00022236299713576958	1.0378412987317223e-05	0.0	6.0824401577534185e-05	0.0023124422730922893	0.0012130036846891414	4.510468360102043e-05	0.0	0.0	0.0	0.0018533266252191759	4.657954163913377e-05	0.0001247562489902798
CYBB	0.0	0.0	0.0	0.002692344548535461	0.0	8.348320615389939e-05	0.0	0.0	0.00258454221857732	0.0008316802979535358	0.00041746735043245555	0.0	0.0	8.027026632108605e-08	0.0	0.00037366898540801806	0.0	0.00011380212033719331
CD163	0.0	0.0	0.0	0.001626494610249012	0.0	0.0	0.0	0.0	0.003205364472316747	0.001559198405772806	0.0	0.0	3.954442644906194e-06	0.0	0.0	0.0	0.0	0.0
A2M	0.0	0.0	0.0	0.0029590289377949717	0.0008159756306534863	0.0009522745664752789	0.0	0.0006277096609351009	0.0003184188935278489	0.001009585157427826	0.0	6.9764626537743e-05	0.0008590152258421444	6.750448974780237e-05	0.001987788574137246	0.0	0.002407119527733322	0.0
CD83	0.0	0.0	0.0	0.0011888249534281624	0.0	0.00022374908327444783	0.0	0.00019724238080304253	2.5647433542918136e-06	0.006723273670410918	0.0	0.0	0.0	4.873734925240329e-05	0.0	0.000442139217630006	0.0	0.0015864615589243083
CTSB	0.0003271835624215784	0.0011687414315812797	0.0004910823684715561	0.002248057560518369	0.0017753188366065361	0.002269208996221458	0.0004726726353687102	0.001609695327356972	0.002648332797923794	0.001249837933097009	6.439747476079761e-05	0.0002845720559158304	0.002203490890729222	0.0004474039086131755	0.0004076605777493894	0.00035239922410097317	0.0008911782800528765	0.0010033733286599342
JUN	0.0013879970515243993	0.0021950799750266267	0.0020628430475006874	0.0013318194738105064	0.002954182554198332	0.0017918741208394083	0.001522063051483725	0.0021890237033648516	2.856217332670326e-05	0.0032701420728655597	0.0	0.0013145517681619453	0.0017609309885898371	0.0003857978620620117	0.0016949907178424584	0.002602002462492517	0.0013170947587148188	0.002026880185395412
TXNIP	0.0023647031752540484	0.0005923047174676274	0.0017591030755540087	0.0006649322698055457	0.001032730749876795	0.0009034764173277515	0.00033138802306010716	6.245740599197266e-06	0.0016194677261160354	0.0	0.0020774328478392295	0.0003880923275945489	0.00021485332038553506	0.0	0.0011323313998738156	0.0021604346063631265	0.000397605219811491	0.001258482404226471
CCL5	0.0023093445703556725	0.0	0.0	0.00023904405351274577	0.0	0.0	1.3913827752664864e-05	0.0	0.0	0.000854235927217694	0.0	0.0	0.0	0.0	1.3760243537069128e-05	0.0	2.1109530558499973e-05	0.0
MBP	0.0007687250560599815	1.8324663801285358e-05	0.0002438525964928205	0.0005476848290500463	0.0	0.00045523249806906995	0.0033804581441524996	0.0	0.0004324272370719219	6.911373505324349e-05	0.0008736847207205813	1.2147058205658449e-05	0.00012438811806229512	0.0	0.00013673732678725332	8.297449383006673e-05	7.129980443763137e-05	0.0004927592892415729
HLA-B	0.0034460863580104304	0.003636453225561973	0.000566711915958716	0.001943986943063938	0.002562500040815183	0.0018438367322744513	0.0018971635701244272	0.0022807890590388897	0.0024567615188617466	0.0031738329259987427	0.002631286768371103	0.0	0.002443562179567841	0.0006384312715409995	0.0013391755087867657	0.002319935432006017	0.001834860210849409	0.001691221592585613
FCGR3A	0.0	0.0	0.0	0.0029110900329736723	3.932605458011337e-05	7.33233098638109e-06	0.0	0.0	0.0018965341990371716	0.000708998556052428	0.0013887868674559163	0.0	0.0	0.0	0.0	0.0	0.0	0.0
POSTN	0.0	0.0007531107462265894	0.0	0.0	0.0010201933932717942	0.0019070729269343202	0.0	0.0	0.0	0.0	0.0	0.0	0.0024019232774047427	0.0005887042385988588	0.0	0.0	0.0	0.0
LAPTM5	0.0015168199994215607	0.0	0.0	0.002026029167166252	0.0	0.0	0.0	0.0	0.0022234027741965027	0.0015978485248437325	0.0017948028508516728	0.0	6.931033850536966e-05	0.0	0.0	0.0007144171017986824	0.0002407247631299516	0.0018259711676117914
LCP1	0.002329931734292208	0.0	0.0	0.0006368638454256608	0.0	0.0	4.717229249420605e-05	0.0	0.0018495577047456491	0.0011987639184912306	0.0024596959939916035	0.0	0.0	0.00018639654026336957	0.0	0.0007616483116770662	0.0	0.0018714044309541419
EGR1	6.138366829497518e-05	0.0010362130677329321	0.0019059237748163674	0.0008995181517221714	0.0018067145554805809	0.0015513596964086892	0.0013124294450168952	0.0017274023279942184	0.0	0.0035307082442022175	0.0003228302956319046	0.0008460896208495958	0.0012800053266148845	0.00038639662532640064	0.001697219176456095	0.0008435522507972178	0.0008307753957982729	0.0014925585449875223
ERMN	5.642620239147833e-05	0.0	0.0	4.895110752831274e-06	0.0	0.0	0.004176855653187217	4.091127513235264e-06	0.0	0.0	3.0221438573982592e-05	0.0	2.8644487418517977e-05	0.0	0.0	5.1851533127449124e-05	0.0	0.0
IGHG3	0.00016729733029102156	0.0	0.0004989405491190818	0.00014659095009577605	0.0	0.0	0.0	0.0	0.0	0.0	2.3378602428758783e-06	0.00011959713468572874	9.94591574166388e-06	0.0	3.7430658565766753e-06	0.008805350297751076	0.0	0.0004549396406501938
C1QA	0.0	0.0	0.0	0.0033898467865303102	0.0	2.6049768540765588e-05	1.264926079729024e-07	0.0	0.001491883903069687	0.0007774801076326501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SOD2	0.0002437354581464349	0.0	0.00010882580358652431	0.00018883059917591268	0.0016566973952954589	0.0019362573246966433	0.00013891237968679732	0.002715151876188349	0.0006746549494228015	0.004306403593551599	0.002144268888736484	0.00031958357574853947	0.0005365388390413927	0.0	0.00027700202603552404	8.998234185168463e-05	0.000370973106982082	0.0
NRCAM	0.0	0.0016722737894420867	0.001998407465589299	0.0	0.0021324317492032547	0.002905106518308675	0.0	0.0023338157167124432	0.0	0.0	0.0	0.0008264416022814605	0.0	6.928129743164743e-05	0.0	0.0	7.775021183363603e-05	6.668315610119052e-06
HLA-DQB1	0.0002966508608587333	0.0	0.0	0.0017566361055805968	0.0	1.5345557722044965e-05	0.0	0.0	0.0025800140656477228	0.002143136828738318	0.0	0.0	0.0	3.164896739727619e-05	0.0	0.0005072163486144634	0.0	0.0
SAT1	0.0006774404458669497	0.0001812464427031857	0.0002693616052892351	0.0017745735266218503	0.0010923941776308705	0.0014770013036694743	0.00014457069916785486	0.0016178579707267651	0.0015918008849649223	0.0031585561345095713	0.002003676788932339	1.7495709018429357e-05	0.0010337838292363824	0.0	0.00028610713168248606	0.0011773728958125766	0.0010050858650245318	0.0013557939409058338
VCAN	0.0	0.0014395425707399885	0.002859514580482717	0.0	0.000553584641559143	0.0008889116279558515	0.0	0.002009873398302882	0.0021414239616679032	0.0	8.258507593573468e-05	0.0	0.002036471282933902	0.00047241053297091023	0.0002646432665305493	0.0	0.0001304445858613602	0.0
CLDN11	0.0	0.0	0.0	0.0	0.0	0.0003875137346330705	0.003908840764436147	0.0	0.0	9.236782961316384e-06	0.0	0.0	0.0008125519482712137	0.0	0.0005244601293297774	3.3335757511412164e-05	9.478757701783534e-05	0.0
PTN	0.0	0.003668631718980798	0.0016101071029591084	0.0	0.0017183923989581443	0.0015768195026388389	0.0009618243308559769	0.0016353439275842098	0.0	0.0	0.0	0.0005610235068230436	0.0007801745319928609	0.0009208790443884953	0.0006305314259297848	2.5718952691026688e-05	0.00013466467389584115	0.0
CD14	0.0	0.0	0.0	0.00216816984669375	0.0	9.512314296924525e-05	0.0	0.0	0.0027412422244930674	0.0012237045895207301	0.00024237003403894248	0.0	2.220624528129624e-06	0.0	1.3017489901265865e-05	0.0	0.0	0.0
CSF1R	0.0	0.0	0.0	0.0032530521036754885	0.0	0.0	0.0	0.0	0.0018718827957212164	0.0010226211466879936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GPM6B	0.0	0.0025011241243143305	0.002147379539434056	0.0	0.001979379086660615	0.002273106148972019	0.002276699032899259	0.002120464901773861	0.0	0.0	0.0	0.0	0.0	0.0004835742832542529	0.0	2.426227741619278e-05	0.0	0.0
SERPINA3	0.0	0.0	0.0	0.0	0.0005673109637530984	0.00212017898398271	9.519182492554212e-05	0.004228786406039232	0.0	0.00014998322421105013	0.0	1.607866676353972e-05	0.00019848992840525384	0.0	0.00018782160958366996	0.0	0.00018852230400237093	0.0
AKAP12	0.0	0.00040061485646659056	0.0002661392684477519	0.0	0.0057721025766704044	0.001486955490104571	0.0	0.0001717000219126529	0.0	0.0	0.0	0.00013640900588893023	0.0	0.00020250328449140768	0.0017444062143883406	8.511650743715485e-05	0.0002923705868894121	0.0007679679811411301
KLF6	0.001965149605689726	0.0008978558114276939	0.0008558246316518196	0.001334567364487983	0.0019515164130392854	0.001092279144314681	0.0005407163837019755	0.0013596036408955513	0.00018636595660524242	0.005141752560588671	0.0011861595516385077	0.0	0.0012614502274882898	0.0001762018566719253	0.0011843898122206908	0.002250588827406707	0.0011685051229862497	0.0021117127993702097
OLIG1	0.0	0.0013940864346004545	0.0035990044664156746	0.0	0.0	0.0	0.0020053594842544577	0.0	0.0	0.0	0.0	0.0	0.0	1.427055682007525e-05	0.0	7.025663009423174e-06	0.0	0.0
TRBC2	0.0026675460954176506	0.0	0.0	0.0	0.0	0.0	1.097259078089643e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLEK	0.00010163844731541503	0.0	0.0	0.001099415651056695	0.0	0.0	0.0	0.0	0.0010643164022106058	0.004238522371966877	0.0019235221630381882	0.0	0.0	0.0	0.0	0.0003635490300606619	0.0	0.00026713192381338466
GPR183	0.001057934756667008	0.0	0.0	0.0007763697292627171	0.0	0.0	0.0	0.0	0.0008450756351643696	0.004671351099906698	0.0	0.0	0.0	0.0	0.0	0.0009738540470660494	0.0	0.00016120943169771568
MAP2	0.0	0.002591829755554288	0.003361024456607555	0.0	0.0007220059163558694	0.0001441577335481631	0.0	0.0009957766861955623	0.0	0.0	0.0	0.002496125182626132	0.0	0.0004999127902901524	0.0007276484655075723	7.053429834817307e-05	5.339452145913769e-05	0.0
HLA-DRB5	0.0001896404211611259	0.0	0.0	0.0022922785284431673	0.0	0.0	0.0	0.0001431259413719144	0.0017101848913550956	0.002322279649897842	0.0	0.0	0.0	0.00012512050091301088	0.0	0.0006439704066563456	0.00010889466068842727	6.772347330007986e-05
CTSS	0.0005556993742023059	5.181714398693865e-07	0.0	0.0017027513078258483	0.0	0.00016913028354413688	0.0	0.00011179326860864605	0.0025202346867336297	0.0013879396271708558	0.002405645716367015	0.0	0.0002830621141516062	0.0	0.0	0.0014849851247633239	0.00019428331208507825	0.00020939115409943532
HLA-E	0.0026886871779836503	0.0017803124052209634	0.0	0.0019607964931153293	0.0006971627312037658	0.000814533961982418	0.0009474318383365097	0.0013031361160660713	0.0017448571309069717	0.002179220638072979	0.0021970258625750396	0.0	0.0013583981484405455	0.0	0.0008479862086532791	0.001484576497241047	0.0017964153340308483	0.0014500672492407014
HSPA1A	0.00024915858998756664	0.00042522299316422003	0.0012195678685251057	0.001052731913185671	0.0006698734611093525	0.0010273600696007036	0.0011576907417731744	0.0007277730198599488	0.001189455657766562	7.750082039660957e-05	0.0007718107531576321	7.091901623113433e-05	0.0005511220315527119	0.0003170784416607054	0.0008613703686493419	0.00018090433985132976	0.0005326039848649357	0.00032320823855733866
THBS1	0.0	0.0	0.0	0.0	0.00012866173288673198	0.00038656892758090803	0.0	0.0004694354565697334	0.0029532859622535485	0.0005323852168291422	4.558995874265339e-05	1.3245311969554852e-05	0.0006704151393538269	0.0	0.0021608010747616135	0.0	0.00047989771609593864	0.0
TYROBP	4.0695847127024814e-05	0.0	0.0	0.0020395280457827284	0.0	0.0	0.0	0.0	0.0026470979881176924	0.0015107965575862187	0.0018133886475933377	0.0	0.0	0.0	0.0	0.0	0.0	0.0010055985774961222
TMEM144	0.0	0.0	0.0	0.0002762771501423694	9.866263360377474e-05	9.733145417584e-05	0.0039608658507681365	0.00019617414848319123	0.00019776056221836236	0.0	0.0	0.0	0.00015068320862690672	0.0	0.0	0.0	1.4046165369818253e-05	2.9626339934832813e-05
SELENOP	0.0	0.0006541009946207487	0.0	0.0008325103293845971	0.00020243019542163392	0.0006105919151588364	0.0029066814640476162	0.0012830069110788705	0.0007416113351614671	0.0005399736641263874	0.0	0.0	0.0011431638522609842	0.0	0.000567228183174778	0.0	0.0006843119359891768	0.0
ETS1	0.003015668228854161	2.5247472776788005e-05	0.0009198855464653905	6.393929316628449e-05	0.0006251678410290213	2.8482048139258807e-05	1.5809160077977414e-05	0.0	0.0	8.352993066505078e-06	3.89642398329466e-05	0.0	0.0006239015010767036	0.00018884980530741536	0.0008775284993070878	0.0004586986685242089	0.0012118553434360261	5.5084770911042945e-05
IER3	0.0	0.0	0.0	0.0010352763995220067	0.0	0.00022320731841923855	0.0	0.0	0.0005230125911641027	0.005460460932202731	0.0007523672088037843	0.0	3.987703354024308e-05	0.0	0.0010289435612863226	0.00036012785439476795	0.0003324900655236205	0.0008669798323405146
