	Treg	Cycling	Naïve/Memory	Effector
AL022341.2	-0.000138578	3.62E-05	-0.000153079	0.001068841
AL031056.1	-8.99E-06	-2.22E-05	2.07E-05	7.99E-05
AL033543.1	3.85E-05	-1.12E-06	3.43E-05	-8.43E-06
AL034345.2	0.000853193	-0.00011029	-0.000138347	-9.35E-05
AL034550.2	-3.64E-05	-7.68E-05	-1.87E-06	0.000254047
AL035078.1	-0.000459207	0.000400365	0.000530225	-0.000127641
AL121933.2	0.000105822	5.41E-05	6.54E-06	2.82E-05
AL133243.3	7.65E-05	-6.61E-05	0.00016355	8.56E-05
AL139407.1	-1.77E-05	-4.18E-05	8.80E-05	2.37E-05
AL157392.3	4.65E-05	0.000100558	0.00020876	7.27E-05
AL160314.2	1.07E-05	-3.18E-05	5.55E-05	-7.36E-05
AL162390.1	-4.39E-05	-4.04E-05	7.27E-05	9.40E-06
AL162595.1	3.60E-05	-2.67E-05	4.46E-05	5.66E-05
AL353597.1	-7.85E-05	-2.30E-05	7.63E-05	-6.48E-05
AL353743.2	-6.54E-05	-3.08E-05	7.87E-05	-2.01E-05
AL355916.2	0.000118744	7.15E-06	-6.91E-06	0.000150888
AL355999.1	-7.76E-05	9.78E-05	-6.13E-06	0.000170127
AL356966.1	-6.08E-05	-2.99E-05	0.00013119	-6.24E-05
AL359220.1	-2.99E-05	-6.57E-05	0.000165765	3.75E-05
AL359715.1	-7.16E-05	-3.50E-05	0.000107443	-2.47E-05
AL442003.1	4.11E-05	-4.95E-05	2.57E-05	2.87E-05
AL513165.1	-7.36E-05	-2.49E-05	5.59E-05	-7.43E-06
AL513548.3	-1.07E-05	-4.19E-05	5.15E-05	-6.85E-05
AL603756.1	-1.72E-05	2.99E-05	2.30E-05	-2.82E-05
AL606760.3	5.94E-05	0.000276062	-3.99E-05	5.16E-05
AL627171.2	-0.000125114	0.000438495	0.000766161	0.000140647
AL731533.2	-9.07E-05	-3.98E-05	1.53E-05	0.000108414
AL731569.1	-2.58E-06	-3.25E-06	7.59E-05	-3.82E-05
ALAS1	0.001252685	0.000505423	-0.000173618	0.000201637
ALCAM	0.000204433	0.000789914	8.84E-05	-0.00023748
ALDH1A3	6.48E-05	4.12E-05	-5.32E-05	0.000214386
ALDH3B1	-1.74E-05	-2.10E-05	-7.07E-05	0.000647891
ALKBH8	5.78E-05	0.0004007	0.000104451	8.02E-05
ALMS1	7.84E-07	0.000306057	0.000170375	0.000134935
ALOX5	-4.57E-05	-7.19E-05	0.000303395	-9.94E-05
AMER1	0.000229828	5.28E-05	-4.86E-05	0.00029781
ANGPT2	1.76E-05	-6.10E-05	4.92E-05	2.40E-05
ANGPTL4	0.000270136	-6.21E-05	-6.02E-05	0.00032777
ANK1	0.001705806	-0.000226003	-0.000239274	-0.000158226
ANK3	-0.000619514	-8.67E-05	0.000644021	-0.000499545
ANKRD22	0.000260306	4.89E-05	-5.64E-05	4.89E-05
ANKRD24	8.88E-05	3.79E-05	4.90E-05	-4.85E-05
ANKRD26	-7.97E-05	0.00020457	0.00021043	-2.39E-05
ANKRD29	1.08E-05	-3.18E-05	4.08E-05	-4.11E-05
ANKRD31	0.000133626	-4.50E-05	2.33E-05	-6.86E-05
ANKRD33B	0.000543819	0.000441195	5.78E-05	-0.000154174
ANKRD36C	-2.76E-06	0.000412074	0.000513941	-0.000107046
ANKRD55	-0.000304314	-8.40E-05	0.000255529	-0.000273746
ANKRD6	-0.000312528	-1.79E-05	0.00025103	0.000373163
ANKS1A	0.000193488	9.69E-05	0.000112259	0.000226029
ANLN	-0.000308899	0.003083953	-0.000173563	-0.000204472
ANTXR1	9.78E-06	-7.41E-07	4.36E-05	-1.91E-05
ANTXR2	0.000860119	0.000313793	0.00036458	-0.000380067
ANXA1	-0.001400945	0.000282416	0.001066681	-0.000645335
ANXA2	0.000995026	0.002142916	0.00012031	7.09E-05
ANXA5	0.000998271	0.002381101	2.45E-05	-0.000159436
ANXA9	0.000251392	0.000174245	-0.000207436	0.000724901
AOAH	-0.00047288	0.000210504	-0.000238036	0.002558224
AP000692.2	0.00022797	-3.55E-05	-2.19E-06	-3.06E-05
AP005482.1	2.41E-05	8.17E-05	6.13E-05	0.000233135
APBA1	-3.69E-05	-4.91E-05	7.93E-05	-4.92E-05
APBA2	-0.000855657	9.79E-05	0.000332595	0.001027689
APBB2	2.50E-06	1.74E-05	-1.70E-05	6.12E-05
APC	0.00027956	0.000264936	0.000166346	0.000508003
APLNR	2.48E-06	4.59E-06	5.44E-05	-5.32E-06
APLP2	0.001810015	0.000735716	-0.000298231	0.000830389
APOBEC3C	0.00194915	0.001533417	-0.000220913	0.000625903
APOBEC3G	0.000834016	0.00165119	-0.000287017	0.001714585
APOE	0.000444732	5.33E-05	-8.64E-05	0.000281056
APOL6	0.001311048	0.000517582	0.000202573	0.000623747
APOLD1	0.000484029	-1.34E-05	-4.57E-05	2.39E-05
AQP1	0.000119629	3.01E-05	-1.42E-06	-7.08E-05
AQP4	-1.15E-05	-4.41E-05	-1.90E-05	0.00011321
AR	5.69E-05	-7.88E-05	0.000121483	-2.75E-06
AREG	-0.000795305	-0.0001495	-0.000151095	0.002786653
ARG2	0.000701006	-6.46E-06	-0.000204343	0.000403681
ARHGAP18	0.000537558	0.000426829	-3.65E-05	0.000584468
ARHGAP19	0.000306437	0.000669803	-2.47E-05	0.000284488
ARHGAP21	-0.000144474	0.001235427	0.000120068	0.000164507
ARHGAP22	0.000180179	-9.23E-05	2.13E-05	7.02E-05
ARHGAP31	0.000576803	2.67E-05	1.80E-05	0.000297971
ARHGAP42	-0.000142581	0.000707851	-0.00013939	0.000574006
ARHGAP5	-4.80E-05	-0.000136524	0.000592864	-0.000239184
ARHGAP8	3.55E-05	-3.51E-05	3.91E-05	6.11E-05
ARHGEF10	0.000260139	-0.000158908	3.02E-05	0.000138365
ARHGEF12	0.002490594	-9.62E-05	-0.000342843	0.000645665
ARHGEF25	-4.16E-05	-2.38E-05	-1.82E-05	0.000147748
ARHGEF28	4.32E-05	0.000391805	-7.36E-05	0.000244074
ARID5B	0.001379286	-3.94E-05	0.000477616	-0.000852534
ARL11	0.000582165	-4.60E-05	-1.29E-05	-2.38E-05
ARMCX4	-0.000100558	0.000260961	0.000204522	-0.000140213
ARRDC4	-8.44E-05	-8.73E-05	3.63E-05	0.000321074
ARSJ	-1.71E-05	4.86E-06	1.76E-05	8.96E-05
ASAP2	-3.98E-05	0.000164846	-6.39E-05	0.000349084
ASAP3	2.70E-05	-4.65E-05	0.000116305	-9.28E-05
ASCC3	0.000634599	0.000797702	0.000158922	0.000338635
ASCL2	0.000329202	0.000193735	-0.000184846	0.000559306
ASMT	-4.22E-05	0.000732701	-5.87E-06	2.08E-05
ASPH	-0.000188026	6.02E-05	8.20E-05	0.00051591
ASPM	0.000133453	0.002361679	-0.00020427	-0.000163478
ASPRV1	5.51E-05	-4.85E-05	6.89E-05	1.41E-06
ATAD2	0.000134122	0.004083096	-0.000194991	-0.000134827
ATAD5	-0.000265453	0.002827764	-0.000119153	0.000231515
ATF3	-0.000331742	0.000333781	0.000394623	0.000108777
ATL1	-8.27E-05	-1.20E-05	4.16E-05	0.000129955
ATM	-0.000671474	-9.74E-05	0.000738132	0.000388732
ATOH8	-1.98E-05	-1.82E-05	-1.23E-05	5.42E-05
ATP13A3	0.001808682	0.000683191	-0.000159246	0.000106612
ATP1A2	-1.46E-05	-2.35E-05	1.16E-05	0.000109331
ATP1B1	0.000627075	0.000159734	-3.90E-05	0.00048013
ATP1B3	0.000220316	0.000945928	-5.77E-05	0.000805648
ATP6AP1L	-1.85E-05	0.000470399	6.87E-06	0.000174186
ATP8B4	-0.000122352	2.65E-05	-0.000465384	0.002389459
ATP9A	1.72E-05	9.63E-06	-7.80E-05	0.000406957
ATR	-6.12E-05	0.000621068	0.000263618	0.000211644
AURKA	0.000453923	0.000312693	-0.000170908	0.000410223
AURKB	-0.000216914	0.001946745	-1.92E-05	-0.000174503
AUTS2	-0.000560114	0.00051835	1.58E-05	0.001314331
B3GALT2	0.000668452	-0.000147195	-3.44E-05	-0.000172569
B3GAT1	0.001449591	6.81E-05	-0.000307778	0.000221941
B3GNT5	0.000308933	0.000296416	-0.000126953	0.000575877
B3GNT7	-0.00017756	-0.000165834	-0.000756997	0.003661826
B4GALNT1	-5.55E-05	-4.78E-05	-0.000266462	0.001224015
BACE2	0.000648421	-2.29E-06	-0.000135932	0.000199914
BACH1	0.001397332	0.000549321	-0.000159819	0.00021373
BACH2	-0.000567702	-4.35E-05	0.000457986	-9.65E-05
BAG3	5.59E-05	-4.22E-05	0.000288384	-0.00025173
BAMBI	-0.000141449	6.08E-05	5.78E-05	8.04E-05
BANK1	-6.42E-05	0.000169908	-0.000229352	0.001306953
BARD1	0.00068732	0.001750573	-0.000262807	0.000397109
BASP1	0.000783641	-5.54E-05	-7.91E-05	3.94E-05
BATF	0.004248568	-0.000166639	-0.000554243	-0.000560123
BAZ2B	7.66E-05	0.000639689	0.000144511	0.000605708
BCAS1	0.000108404	-5.81E-05	7.86E-06	0.00010832
BCAT1	0.000494501	0.001104724	-9.37E-05	3.56E-05
BCL2	0.00049505	3.81E-06	0.000725636	5.80E-05
BCL2A1	-0.000167799	0.000333355	0.000210213	0.000185514
BCL2L11	0.001065752	3.89E-05	-0.000290617	0.001272769
BCO2	-0.000145418	-8.72E-05	1.46E-05	0.000396989
BDP1	0.000295739	0.000400078	0.000251787	0.000441842
BEGAIN	6.17E-05	-9.16E-05	0.000115877	1.46E-05
BHLHE40	-0.000572457	0.000552735	0.000408883	0.001639043
BHLHE41	0.000246342	-4.33E-05	2.53E-06	0.000168872
BICD1	0.000225636	0.000421462	0.000167858	8.25E-05
BIRC3	0.001973597	-0.000335059	0.000301242	-0.00081345
BIRC5	-5.13E-05	0.003191936	-0.000157062	-0.000296639
BLM	0.000395997	0.001372236	-0.000133462	0.000204835
BMERB1	-5.22E-05	0.000217115	0.000220828	9.92E-05
BMP2	-4.49E-05	-1.35E-05	-4.33E-05	0.000301297
BMP2K	0.000847283	0.000392124	-6.10E-05	0.000272536
BNC2	-0.000170215	-0.000230695	-0.000191622	0.001249031
BOD1L1	0.000181005	0.000206484	0.000465352	0.000286104
BOK	-8.26E-05	-0.000108584	-0.000113849	0.000619316
BPGM	0.000400769	0.00042943	-4.78E-05	0.000654454
BRCA1	-8.90E-05	0.003833982	-0.000287947	0.000284952
BRCA2	0.000132548	0.0029164	-0.000225999	2.78E-06
BRIP1	-6.47E-05	0.002969738	-0.000188455	-1.73E-05
BRWD3	2.20E-05	-7.06E-05	0.000255928	0.000327247
BSPRY	0.000180518	0.000186507	-0.000118906	0.000481727
BTBD3	9.31E-05	-6.99E-05	-0.000106246	0.000614709
BTBD8	-0.000229921	-6.17E-05	0.000223143	1.80E-05
BTK	0.000115571	-0.000130493	-3.58E-05	0.000386781
BTN2A2	0.000916897	-0.000107359	-7.64E-05	0.000409211
BTNL9	0.000229577	0.000100676	-4.54E-05	5.13E-06
BUB1	0.000133933	0.001764633	-0.000285082	0.000726523
C14orf132	-0.000211956	-5.93E-05	0.000157015	-0.000131748
C17orf58	1.26E-05	0.000961255	-0.000118526	0.000661324
C1orf21	-0.000458976	0.000533953	-0.000259244	0.001890872
C1QTNF1-AS1	4.55E-05	-7.64E-06	4.71E-05	-4.43E-06
C21orf62-AS1	-2.03E-05	-0.000103155	0.000128635	9.32E-05
C2CD4A	0.000203567	1.15E-05	-3.85E-05	-6.35E-05
C4orf19	-6.68E-05	-4.69E-05	0.000139489	-1.05E-05
C5AR1	0.000238836	-7.38E-05	2.25E-05	0.000153794
C5orf63	0.000139121	0.000118999	0.000142573	0.000330796
C7orf57	-4.46E-05	0.000112162	5.36E-06	9.77E-05
CA6	-0.000183624	-3.37E-05	0.000195003	-5.32E-05
CACNA1C-AS1	-1.01E-05	5.02E-05	3.90E-05	1.77E-05
CADM1	0.001597329	0.000235699	-0.000238937	-6.37E-05
CADPS	-1.37E-06	3.92E-05	-3.73E-06	0.000250077
CAMK1D	-0.000331709	0.000415003	0.000310407	0.000123754
CAMKK1	3.82E-05	-7.11E-05	0.000229337	-0.000130298
CAMSAP2	-5.18E-05	6.87E-05	0.000237667	-0.000166168
CAPG	0.000321349	0.000358709	-4.49E-05	0.00110039
CAPN10-DT	5.83E-05	7.86E-05	7.91E-05	-2.47E-05
CAPRIN2	-0.000125296	-5.77E-05	0.000292787	0.000290298
CARMIL1	0.000172003	0.000195614	9.00E-05	-0.000192544
CARMIL3	-2.72E-05	-7.00E-05	-7.46E-05	0.000477415
CASP3	0.000587795	0.000899266	-0.000350582	0.001390009
CASP8AP2	-0.000231256	0.001112531	0.000217079	0.000177905
CAV1	0.000401226	0.000523032	-9.75E-05	0.000104149
CAVIN2	7.23E-05	-6.97E-05	-9.87E-06	0.000320304
CAVIN3	0.001476339	0.000199512	-0.000248682	-0.000146207
CBR3-AS1	-5.75E-05	-6.95E-05	0.00017142	-7.41E-05
CBX5	0.000699414	0.002329561	-9.46E-05	0.000515611
CC2D2B	0.001013546	-0.000132329	-0.000171415	-1.46E-05
CCDC141	0.000904316	-4.10E-05	-6.05E-05	0.000197054
CCDC144A	0.000213924	-4.70E-05	0.000408658	0.000130478
CCDC168	1.25E-05	-2.52E-05	-1.12E-05	0.000116927
CCDC171	-6.69E-05	0.000649972	-2.34E-05	4.10E-05
CCDC18	-5.79E-05	0.000828275	0.000129937	0.000145722
CCDC191	-8.52E-05	3.55E-05	0.000288886	-6.81E-05
CCDC50	0.00182782	0.000131134	-0.000376562	0.000522022
CCDC62	-8.15E-05	6.76E-06	6.68E-05	1.60E-05
CCDC88A	-0.000175729	0.000881439	0.000169015	0.000293503
CCL18	-5.66E-06	-3.97E-05	-1.04E-06	7.71E-05
CCL20	0.000970612	1.60E-05	-4.03E-05	-0.000264416
CCL22	0.00077162	-9.67E-05	-0.000135553	-3.36E-05
CCL3	-0.000253738	0.00022121	-0.000275822	0.001817194
CCL3L1	-0.000160539	0.000156109	-2.70E-05	0.000551369
CCL4	-0.000648433	0.000515525	0.000127246	0.00160571
CCL4L2	-0.000271717	0.000325554	-1.34E-05	0.000766276
CCL5	-0.000668924	0.000820226	7.25E-05	0.002205101
CCNA2	1.13E-05	0.002686891	-0.000209133	-0.000313307
CCND1	-3.86E-05	-4.76E-05	6.68E-05	8.95E-05
CCND2	0.003229549	0.000398599	-0.000554475	0.001558178
CCNE2	-0.000196703	0.003467083	-0.000192403	-0.000122703
CCNF	0.000111534	0.000743949	-0.000106553	0.000282364
CCNG2	0.003016647	-0.00035051	-0.000456495	-7.19E-05
CCNJL	-0.000153721	-0.000164534	-0.000421917	0.002137737
CCR1	0.00166255	6.92E-05	-0.000435349	0.000931626
CCR2	0.001102138	0.000341422	3.98E-05	-0.000358569
CCR3	0.000840742	0.000154406	-0.000173773	-9.57E-05
CCR4	0.001173165	-4.70E-06	0.000170552	-0.000717484
CCR5	0.001698793	0.000761333	-0.000115871	-2.69E-05
CCR6	0.000428697	-0.000254935	0.000377527	-0.00068421
CCR7	-0.00102613	-5.79E-05	0.000924568	-0.001104283
CCR8	0.004309107	-0.000295234	-0.00075926	-0.000347271
CCR9	2.51E-05	3.49E-05	-0.000184662	0.00088312
CD101	0.000233253	0.000248706	0.00014038	7.80E-05
CD160	-0.000213273	-0.000109731	-0.000399999	0.002303566
CD163	0.000471753	-8.69E-05	-1.83E-05	0.000143915
CD177	0.002659936	-0.000305656	-0.00047887	-0.000157613
CD226	-0.000156777	-3.20E-05	0.000540872	-0.000145743
CD24	-0.000130564	0.00042982	1.75E-05	4.67E-05
CD38	0.000520056	0.0005014	-0.000662296	0.002715522
CD4	0.003343177	1.53E-05	-7.69E-05	-0.000908078
CD40LG	-0.000422219	-3.95E-05	0.000454328	-0.000645237
CD55	-0.001060529	0.000142346	0.000625931	0.000445415
CD69	-0.001017607	9.08E-05	0.000961531	-0.000231263
CD74	0.002344794	0.001844247	-0.000325761	0.000374077
CD83	0.000397415	0.000481482	-0.000272664	0.001396774
CD84	0.000588412	0.000208759	0.000468843	-0.000438017
CD8A	-0.00072605	0.001272852	0.000470352	0.000354842
CD8B	-0.000531128	0.000816274	0.000440782	1.46E-05
CD9	-2.02E-05	0.000110739	-0.000362055	0.002190324
CDC20	9.49E-06	0.000729719	-2.31E-05	6.41E-05
CDC25A	-0.000115999	0.002310317	-0.000160753	-0.000144353
CDC25C	-3.94E-06	0.000557338	2.30E-06	-8.21E-05
CDC42BPB	-7.41E-05	5.79E-06	0.000156794	2.00E-05
CDC42EP2	-9.61E-05	9.00E-05	0.00010391	1.42E-05
CDC45	-0.000383103	0.004489523	-0.000265237	-0.00010984
CDC6	-0.00015966	0.004243026	-0.000326036	-0.000172866
CDCA2	2.03E-05	0.001937169	-0.000147342	-4.74E-05
CDCA3	-0.000316494	0.002924568	-9.51E-05	-0.000275915
CDCA5	-0.000469274	0.005394958	-0.000281756	-0.000473778
CDCA7	0.000129317	0.003332662	-0.000305213	7.34E-05
CDCA7L	0.000113488	0.002081971	-0.000194468	0.000201098
CDCA8	-0.000220094	0.002911231	-0.000164766	-0.000245998
CDCP1	0.000129719	-6.55E-05	2.30E-05	0.000204635
CDHR1	-0.000254627	0.000208305	-0.00026305	0.001615683
CDK1	-0.000362033	0.004490949	-0.000258915	-0.000329347
CDK2	-0.000318174	0.003293752	-9.14E-05	6.32E-05
CDK4	-0.000173944	0.002235128	4.07E-06	0.000357074
CDK5R1	-0.000343157	0.000134288	0.000203729	-2.80E-05
CDK6	0.000742457	0.000917825	3.49E-05	0.000781587
CDKL5	-0.000117945	0.000205194	8.02E-05	0.000153168
CDKN1A	-9.77E-05	0.000479969	0.000408981	-0.000114269
CDO1	-5.33E-07	-4.10E-05	6.16E-05	-4.21E-05
CDON	-1.51E-05	-3.30E-05	7.94E-05	-3.07E-05
CDT1	-0.000164348	0.004948047	-0.000358283	-0.000149567
CEBPB-AS1	-6.33E-05	4.76E-05	7.17E-05	3.67E-05
CEBPD	-0.000146504	2.60E-05	-0.000176748	0.001642963
CEMIP2	-4.15E-05	0.000348829	0.000179357	0.000975667
CENPE	0.000482535	0.000506625	-4.71E-05	-8.03E-05
CENPF	0.000320425	0.002500861	-0.000190174	-1.09E-05
CENPH	-0.000288983	0.00360208	-0.000111069	-4.17E-05
CENPJ	-0.000110585	0.000894299	-0.000117163	0.000640076
CENPP	-3.80E-05	0.002201668	-0.000151897	7.30E-05
CENPU	-0.000293016	0.005373381	-0.000348118	-0.000150789
CENPV	-7.60E-05	0.000983342	2.26E-05	0.000436367
CEP126	1.82E-05	0.000443298	-2.60E-05	0.000531606
CEP128	0.000264278	0.000893065	2.07E-05	-0.000105827
CEP135	0.000427859	0.000181476	0.000110326	-8.16E-05
CEP152	7.93E-05	0.001121835	2.51E-06	-1.75E-06
CEP162	-0.000111772	0.000283633	0.000154497	0.000218647
CEP170	0.000240556	0.000106615	0.00015379	5.96E-06
CEP250	0.000266244	0.000475944	0.000165478	0.000408141
CEP290	6.73E-06	0.000134624	0.000213081	0.000126008
CEP295	3.12E-05	0.001220304	0.000140846	-2.03E-05
CEP55	0.002187128	0.00255621	-0.000584775	-0.000445574
CEP78	-0.000191488	0.0010206	-8.15E-05	0.001339991
CEP97	0.000356335	0.000402413	0.000119111	-7.23E-05
CERS6	-2.45E-05	0.000243031	4.20E-05	0.000554704
CFAP44	-0.00025137	-1.13E-05	0.000266075	-4.28E-05
CFAP45	-5.62E-05	-6.27E-05	0.000106224	6.90E-05
